회사명,사업연도,감사인,감사의견,감사보고서 특기사항,강조사항 등,핵심감사사항
3S,제32기(당기),신한회계법인,적정,-,,
3S,제31기(전기),신한회계법인,적정,-,,
3S,제30기(전전기),신한회계법인,적정,-,,
AJ네트웍스,제23기(당기),삼일회계법인,,-,,"1. (별도/연결) 렌탈수익의 발생사실
2. (별도/연결) 관계기업투자 손상검사
3. (연결) 영업권을 포함하는 현금창출단위의 손상검사"
AJ네트웍스,제22기(전기),삼일회계법인,적정,-,Covid-19 강조사항,"1. (별도/연결) 렌탈수익의 발생사실
2. (연결) 영업권을 포함하는 현금창출단위의 손상검사"
AJ네트웍스,제21기(전전기),삼정회계법인,적정,-,,"1. 렌탈수익의 발생사실
2. 영업권을 포함하는 현금창출단위의 손상검사"
AK홀딩스,제53기(당기),안진회계법인,적정,-,부문의 계속기업가정의 불확실성,"1. 항공운항업의 현금창출단위 회수가능액 평가
2. 에이케이에스앤디㈜  종속기업투자주식 손상 평가"
AK홀딩스,제52기(전기),한영회계법인,적정,-,"1. 부문의 계속기업가정의 불확실성
2. 전기재무제표의 재작성","1. 항공운항업의 현금창출단위 손상검사
2. 에이케이에스앤디㈜  종속기업투자주식 손상 평가"
AK홀딩스,제51기(전전기),한영회계법인,적정,-,1. 부문의 계속기업가정의 불확실성,"1. 영업권에 대한 손상평가
2. 항공운송업의 현금흐름창출단위 손상검사
3. 종속기업투자주식에 대한 손상평가"
APS,제27기(당기),선일회계법인,적정,-,,"(연결 재무제표)
매출 발생사실

(별도 재무제표)
매출 발생사실"
APS,제26기(전기),선일회계법인,적정,-,"전기오류수정에 따른
전기재무제표 재작성","(연결 재무제표)
-

(별도재무제표)
종속기업투자 손상환입 "
APS,제25기(전전기),한울회계법인,적정,-,,"(연결재무제표)- 관계기업투자자산에 대한 손상평가
(별도재무제표)- 종속기업및관계기업투자자산에 대한 손상평가"
AP시스템,제6기(당기),삼일회계법인,적정,-,,장비 수익인식 발생사실
AP시스템,제5기(전기),삼일회계법인,적정,-,,장비 수익인식 발생사실
AP시스템,제4기(전전기),삼일회계법인,적정,-,,장비 수익인식 발생사실
AP위성,제12(당기),태성회계법인,적정,-,,
AP위성,제11기(전기),태성회계법인,적정,-,,
AP위성,제10기(전전기),태성회계법인,적정,-,,
BGF,"제29기
(당기)",한영회계법인,적정,-,해당사항 없음,"[연결재무제표]
1. 영업권을 포함하는 현금창출단위의 손상 평가

[별도재무제표]
1. 종속기업투자주식의 손상 평가"
BGF,"제28기
(전기)",삼정회계법인,적정,-,해당사항 없음,"[연결재무제표]
1. 영업권을 포함하는 현금창출단위의 손상 평가

[별도재무제표]
1. 종속기업투자자산에 대한 손상 평가"
BGF,"제27기
(전전기)",삼정회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서,이용자는 연결재무제표에
 대한 주석에 주의를 기울여야 합니다. 연결재무제표에 대한 주석에서 
기술하고 있는 바와 같이,연결회사는 종속기업인 (주)사우스스프링스의
 매각계획 결정과 (주)비지에프휴먼넷의 매각으로 관련 사업부문의 
경영성과를 계속사업과 구분하여 중단사업으로 표시하였으며,비교표시 
되는 보고기간의 연결포괄손익계산서는 재작성되었습니다.","[연결재무제표]
1. 영업권의 손상 평가

[별도재무제표]
1. 종속기업투자자산에 대한 손상평가"
BGF리테일,제6기(당기),삼정회계법인,적정,-,해당사항 없음,"(연결재무제표)
1. 가공의 가맹점을 통한 부정한 매출인식 위험
(별도재무제표)
1. 가공의 가맹점을 통한 부정한 매출인식 위험"
BGF리테일,제5기(전기),삼정회계법인,적정,-,해당사항 없음,"(연결재무제표)
1.가공의 가맹점을 통한 부정한 매출인식 위험
(별도재무제표)
1.가공의 가맹점을 통한 부정한 매출인식 위험"
BGF리테일,제4기(전전기),삼정회계법인,적정,-,해당사항 없음,"(연결재무제표)
1.가공의 가맹점을 통한 부정한 매출인식 위험
(별도재무제표)
1.가공의 가맹점을 통한 부정한 매출인식 위험"
BGF에코머티리얼즈,제26기(당기),삼화회계법인,적정,-,,수익인식
BGF에코머티리얼즈,제25기(전기),삼화회계법인,적정,-,,수익인식
BGF에코머티리얼즈,제24기(전전기),대주회계법인,적정,-,,수익인식
BNK금융지주,제12기(당기),안진회계법인,적정 주),-,,상각후원가로 측정된 대출채권의 손실충당금 측정
BNK금융지주,제11기(전기),안진회계법인,적정,-,,"상각후원가로 측정된 대출채권의
 손실충당금 측정"
BNK금융지주,제10기(전전기),안진회계법인,적정,-,,"상각후원가로 측정된 대출채권의 
손실충당금 측정"
BNK캐피탈,제13기,안진회계법인,적정,-,특이사항없음,특이사항없음
BNK캐피탈,제12기,안진회계법인,적정,-,COVID-19 확산 및 미얀마 소요사태로 인한 불확실성,특이사항없음
BNK캐피탈,제11기,안진회계법인,적정,-,특이사항없음,특이사항없음
BNK투자증권,-,-,,-,,
BNK투자증권,-,-,,-,,
BNK투자증권,-,-,,-,,
BYC,제68기(당기),삼덕회계법인,적 정,-,해당사항 없음,재고자산 평가
BYC,제67기(전기),삼덕회계법인,적 정,-,해당사항 없음,재고자산 평가
BYC,제66기(전전기),삼덕회계법인,적 정,-,해당사항 없음,재고자산 평가
CBI,제44기(당기),대주회계법인,적정,-,당기 재무제표,재고자산 평가
CBI,제43기(전기),대주회계법인,적정,-,전기 재무제표 재작성,재고자산 평가
CBI,제42기(전전기),대주회계법인,적정,-,전기재무제표 재작성,재고자산 평가
CJ,제70기(당기),한영회계법인,적정,-,해당사항없음,"(연결) 영업권의 손상평가
 (별도) 종속기업투자주식의 손상평가"
CJ,제69기(전기),한영회계법인,적정,-,해당사항없음,"(연결) 영업권의 손상평가
 (별도) 종속기업투자주식의 손상평가"
CJ,제68기(전전기),한영회계법인,적정,-,해당사항없음,"(연결) 영업권의 손상평가
 (별도) 종속기업투자주식의 손상평가"
CJ CGV,제24기(당기),삼정회계법인,적정,-,없음,"현금창출단위의 손상평가
파생상품계약의 공정가치 평가"
CJ CGV,제23기(전기),삼정회계법인,적정,-,없음,"현금창출단위의 손상평가
파생상품계약의 공정가치 평가"
CJ CGV,제22기(전전기),삼정회계법인,적정,-,없음,"현금창출단위의 손상평가
파생상품계약의 공정가치 평가"
CJ ENM,제29기,삼정회계법인,적정,-,해당사항 없음,"방송부문 현금창출단위 및 CJ ENM FIFTH SEASON, LLC 영업권 손상"
CJ ENM,제28기,삼일회계법인,적정,-,해당사항 없음,방송부문과 관련한 현금창출단위의 손상평가
CJ ENM,제27기,삼일회계법인,적정,-,해당사항 없음,방송부문과 관련한 현금창출단위의 손상평가
CJ 바이오사이언스,제14기(당기),신한회계법인,적정,-,해당사항 없음,"동일지배하의 사업결합
- 지배회사인 씨제이제일제당 주식회사의 Red BIO 사업양수 관련 
  동일지배하의 사업결합에 따른 취득한 자산과 인수한 부채를 
  장부금액으로 인식한 회계처리의 적정성"
CJ 바이오사이언스,제13기(전기),신한회계법인,적정,-,해당사항 없음,"분석매출의 수익인식
- 회사의 분석매출 수익인식 관련 회계정책 및 기간귀속, 
   수익인식금액 등의 회계처리 적정성 "
CJ 바이오사이언스,제12기(전전기),신한회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로, 
연결회사 매출액의 10% 이상 차지하는 
외부고객에 대한 정보를 영업부문정보 주석에 
반영하여 연결재무제표를 재작성.","전환사채의 최초 인식과 후속측정
- 보고기간 중 발행한 전환사채의 최초 인식과 후속측정 관련 
   외부평가 및 회계처리의 적정성 "
CJ대한통운,제113기(당기),삼일회계법인,적정의견,-,해당사항 없음,"- 건설부문의 수익인식
- 영업권의 손상검토"
CJ대한통운,제112기(전기),한영회계법인,적정의견,-,해당사항 없음,"- 건설부문의 수익인식
- 영업권의 손상검토"
CJ대한통운,제111기(전전기),한영회계법인,적정의견,-,해당사항 없음,"- 건설부문의 수익인식
- 영업권의 손상검토 "
CJ씨푸드,제47기(당  기),삼일회계법인,적정의견,-,해당사항 없음,특수관계자 매출의 발생사실
CJ씨푸드,제46기(전  기),삼일회계법인,적정의견,-,해당사항 없음,관계기업에 대한 지분법 회계처리
CJ씨푸드,제45기(전전기),삼일회계법인,적정의견,-,중요한 회계추정 및 가정,관계기업에 대한 지분법 회계처리
CJ제일제당,"제 16 기
(당기)",한영회계법인,적정의견,-,해당사항없음,"- 별도 : 종속기업투자주식의 회수가능가액 검토
- 연결 : 영업권의 회수가능가액 검토"
CJ제일제당,"제 15 기
(전기)",한영회계법인,적정의견,-,해당사항없음,"- 별도 : 종속기업투자주식의 회수가능가액 검토
- 연결 : 영업권의 회수가능가액 검토"
