회사명,사업연도,감사인,감사의견,감사보고서 특기사항,강조사항 등,핵심감사사항
3S,제29기(당기),신한회계법인,적정,-,,
3S,제28기(전기),신한회계법인,적정,-,,
3S,제27기(전전기),신한회계법인,적정,-,,
AJ네트웍스,제20기(당기),삼정회계법인,적정,-,,종속기업투자주식 손상검사
AJ네트웍스,제19기(전기),삼정회계법인,적정,-,,
AJ네트웍스,제18기(전전기),삼정회계법인,적정,-,,
AK홀딩스,제50기(당기),한영회계법인,적정,-,,"1. 영업권에 대한 손상평가
2. 사업결합
3. 종속기업투자주식에 대한 손상평가"
AK홀딩스,제49기(전기),한영회계법인,적정,-,,
AK홀딩스,제48기(전전기),한영회계법인,적정,-,,
APS,제24기(당기),삼정회계법인,적정,-,,
APS,제23기(전기),삼정회계법인,적정,-,,
APS,제22기(전전기),삼정회계법인,적정,-,,
AP시스템,제3기(당기),삼일회계법인,적정,-,,
AP시스템,제2기(전기),삼일회계법인,적정,-,,
AP시스템,제1기(전전기),삼일회계법인,적정,-,,
AP위성,제9기(당기),태성회계법인,적정,-,주1),주2)
AP위성,제8기(당기),태성회계법인,적정,-,,
AP위성,제7기(전기),태성회계법인,적정,-,,
BGF,"제26기
(당기)",삼정회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서, 이용자는 다음 사항에 주의를 기울여야 할 필요가 있습니다. 주석에서 기술하고 있는 바와 같이 연결회사는 주요주주와의 특수관계자 거래 일부를 추가로 표시하고 관계기업투자주식과 관련하여 인식할 이연법인세부채의 인식방법을 소급법으로 적용하여 2018년도 연결재무제표에서 인식하는 것으로 판단하여 2019년 12월 31일과 2018년 12월 31일로 종료하는 보고기간의 연결재무제표를 재작성하였습니다. 이로 인하여 2018년 12월 31일 현재 연결회사의 순자산은 16,472백만원 감소 하였으며 2019년 12월 31일 현재의 순자산에 미치는 영향이 없습니다. 이러한 조정으로 인하여 동일자로 종료되는 보고기간의 당기순이익에 미치는 영향은 없습니다.","영업권의 손상 평가(연결감사보고서) /
종속기업투자자산에 대한 손상평가
(감사보고서)"
BGF,"제25기
(전기)",삼정회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서, 이용자는 다음 사항에 주의를 기울여야 할 필요가 있습니다. 주석에서 기술하고 있는 바와 같이 연결회사는 주요주주와의 특수관계자 거래 일부를 추가로 표시하고 관계기업투자주식과 관련하여 인식할 이연법인세부채의 인식방법을 소급법으로 적용하여 2018년도 연결재무제표에서 인식하는 것으로 판단하여 2019년 12월 31일과 2018년 12월 31일로 종료하는 보고기간의 연결재무제표를 재작성하였습니다. 이로 인하여 2018년 12월 31일 현재 연결회사의 순자산은 16,472백만원 감소 하였으며 2019년 12월 31일 현재의 순자산에 미치는 영향이 없습니다. 이러한 조정으로 인하여 동일자로 종료되는 보고기간의 당기순이익에 미치는 영향은 없습니다.",
BGF,"제24기
(전전기)",삼정회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서 재무제표에 대한 주석에 설명하고 있는 바와 같이 회사는 2017년 11월 1일을 분할기일로 편의점 연쇄화 사업부문을 인적분할의 방법으로 분할하였습니다. 회사는 인적분할의 방법으로 분할된 편의점 연쇄화 사업부문의 경영성과는 계속사업과 구분하여 중단사업으로 표시하였으며, 비교표시되는 보고기간의 포괄손익계산서는 재작성되었습니다.",
BGF리테일,제3기(당기),삼정회계법인,적정,-,해당사항 없음,"(1) 가공의 가맹점을 통한 부정한 
매출인식 위험
(2) 리스기준서 도입효과 회계처리의 
완전성 및 정확성"
BGF리테일,제2기(전기),삼정회계법인,적정,-,해당사항 없음,
BGF리테일,제1기(전전기),삼정회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서 연결재무제표에 대한 주석 1에서 설명하고 있는 바와 같이 회사는 2017년 11월 1일을 분할기일로 주식회사 비지에프에서 편의점연쇄화 사업부문이 인적분할되어 신규 설립되었으며,  2017년 12월 8일에 한국거래소 유가증권 시장에 주권을 재상장하였습니다.",
BGF에코머티리얼즈,제23기(당기),대주회계법인,적정,-,,
BGF에코머티리얼즈,제22기(전기),대주회계법인,적정,-,,
BGF에코머티리얼즈,제21기(전전기),대주회계법인,적정,-,,
BNK금융지주,제9기(당기),삼일회계법인,적정 주),-,,"상각후원가 측정 대출채권의 
개별평가 대상 
신용손실충당금"
